Inoc_Date,Rating_Date,Genotype,Run,Bench,Node,Leaf,Percent_Sporulation,Percent_Lesion
4/24/19,5/1/19,237,1,B,3,2,60,85
4/24/19,5/1/19,237,1,B,4,1,50,90
4/24/19,5/1/19,237,1,B,4,2,70,95
4/24/19,5/1/19,237,1,D,3,1,0,10
4/24/19,5/1/19,237,1,D,3,2,0,0
4/24/19,5/1/19,237,1,D,4,1,0,5
4/24/19,5/1/19,237,1,D,4,2,0,20
4/24/19,5/1/19,237,1,G,3,1,0,5
4/24/19,5/1/19,237,1,G,3,2,0,2
4/24/19,5/1/19,237,1,G,4,1,40,50
4/24/19,5/1/19,237,1,G,4,2,40,40
4/24/19,5/1/19,236,1,A,3,1,0,50
4/24/19,5/1/19,236,1,A,3,2,0,50
4/24/19,5/1/19,236,1,A,4,1,5,80
4/24/19,5/1/19,236,1,A,4,2,0,90
4/24/19,5/1/19,236,1,B,3,1,5,20
4/24/19,5/1/19,236,1,B,3,2,20,30
4/24/19,5/1/19,236,1,B,4,1,80,80
4/24/19,5/1/19,236,1,B,4,2,70,70
4/24/19,5/1/19,236,1,D,3,1,0,5
4/24/19,5/1/19,236,1,D,3,2,0,0
4/24/19,5/1/19,236,1,D,4,1,5,40
4/24/19,5/1/19,236,1,D,4,2,10,50
4/24/19,5/1/19,236,1,G,3,1,0,5
4/24/19,5/1/19,236,1,G,3,2,0,5
4/24/19,5/1/19,236,1,G,4,1,5,35
4/24/19,5/1/19,236,1,G,4,2,0,40
4/24/19,5/1/19,226,1,A,3,1,0,90
4/24/19,5/1/19,226,1,A,3,2,0,80
4/24/19,5/1/19,226,1,A,4,1,0,50
4/24/19,5/1/19,226,1,A,4,2,0,70
4/24/19,5/1/19,226,1,B,3,1,10,40
4/24/19,5/1/19,226,1,B,3,2,20,60
4/24/19,5/1/19,226,1,B,4,1,0,30
4/24/19,5/1/19,226,1,B,4,2,0,20
4/24/19,5/1/19,226,1,D,3,1,0,5
4/24/19,5/1/19,226,1,D,3,2,0,10
4/24/19,5/1/19,226,1,D,4,1,0,5
4/24/19,5/1/19,226,1,D,4,2,0,5
4/24/19,5/1/19,226,1,G,3,1,0,20
4/24/19,5/1/19,226,1,G,3,2,0,10
4/24/19,5/1/19,226,1,G,4,1,0,10
4/24/19,5/1/19,226,1,G,4,2,0,40
4/24/19,5/1/19,222,1,A,3,1,0,10
4/24/19,5/1/19,222,1,A,3,2,10,10
4/24/19,5/1/19,222,1,A,4,1,10,10
4/24/19,5/1/19,222,1,A,4,2,20,20
4/24/19,5/1/19,222,1,B,3,1,40,60
4/24/19,5/1/19,222,1,B,3,2,50,60
4/24/19,5/1/19,222,1,B,4,1,60,90
4/24/19,5/1/19,222,1,B,4,2,70,100
4/24/19,5/1/19,222,1,D,3,1,0,0
4/24/19,5/1/19,222,1,D,3,2,2,5
4/24/19,5/1/19,222,1,D,4,1,40,60
4/24/19,5/1/19,222,1,D,4,2,10,30
4/24/19,5/1/19,222,1,G,3,1,10,70
4/24/19,5/1/19,222,1,G,3,2,0,50
4/24/19,5/1/19,222,1,G,4,1,10,90
4/24/19,5/1/19,222,1,G,4,2,0,80
4/24/19,5/1/19,218,1,A,3,1,0,0
4/24/19,5/1/19,218,1,A,3,2,0,0
4/24/19,5/1/19,218,1,A,4,1,90,90
4/24/19,5/1/19,218,1,A,4,2,70,90
4/24/19,5/1/19,218,1,B,3,1,0,0
4/24/19,5/1/19,218,1,B,3,2,0,0
4/24/19,5/1/19,218,1,B,4,1,80,80
4/24/19,5/1/19,218,1,B,4,2,90,90
4/24/19,5/1/19,218,1,D,3,1,10,30
4/24/19,5/1/19,218,1,D,3,2,30,40
4/24/19,5/1/19,218,1,D,4,1,40,50
4/24/19,5/1/19,218,1,D,4,2,30,40
4/24/19,5/1/19,218,1,G,3,1,0,2
4/24/19,5/1/19,218,1,G,3,2,5,10
4/24/19,5/1/19,218,1,G,4,1,75,90
4/24/19,5/1/19,218,1,G,4,2,50,90
4/24/19,5/1/19,216,1,A,3,1,0,0
4/24/19,5/1/19,216,1,A,3,2,0,30
4/24/19,5/1/19,216,1,A,4,1,2,30
4/24/19,5/1/19,216,1,A,4,2,2,30
4/24/19,5/1/19,216,1,B,3,1,0,30
4/24/19,5/1/19,216,1,B,3,2,0,40
4/24/19,5/1/19,216,1,B,4,1,5,50
4/24/19,5/1/19,216,1,B,4,2,5,60
4/24/19,5/1/19,216,1,D,3,1,0,5
4/24/19,5/1/19,216,1,D,3,2,0,5
4/24/19,5/1/19,216,1,D,4,1,0,10
4/24/19,5/1/19,216,1,D,4,2,0,30
4/24/19,5/1/19,216,1,G,3,1,0,0
4/24/19,5/1/19,216,1,G,3,2,0,0
4/24/19,5/1/19,216,1,G,4,1,0,0
4/24/19,5/1/19,216,1,G,4,2,0,0
4/24/19,5/1/19,196,1,A,3,1,5,90
4/24/19,5/1/19,196,1,A,3,2,5,80
4/24/19,5/1/19,196,1,A,4,1,2,70
4/24/19,5/1/19,196,1,A,4,2,5,70
4/24/19,5/1/19,196,1,B,3,1,0,30
4/24/19,5/1/19,196,1,B,3,2,0,30
4/24/19,5/1/19,196,1,B,4,1,30,30
4/24/19,5/1/19,196,1,B,4,2,40,40
4/24/19,5/1/19,196,1,D,3,1,40,90
4/24/19,5/1/19,196,1,D,3,2,50,70
4/24/19,5/1/19,196,1,D,4,1,20,90
4/24/19,5/1/19,196,1,D,4,2,20,60
4/24/19,5/1/19,196,1,G,3,1,0,0
4/24/19,5/1/19,196,1,G,3,2,0,0
4/24/19,5/1/19,196,1,G,4,1,40,40
4/24/19,5/1/19,196,1,G,4,2,30,30
4/24/19,5/1/19,173,1,A,3,1,0,0
4/24/19,5/1/19,173,1,A,3,2,0,40
4/24/19,5/1/19,173,1,A,4,1,0,30
4/24/19,5/1/19,173,1,A,4,2,0,40
4/24/19,5/1/19,173,1,B,3,1,5,20
4/24/19,5/1/19,173,1,B,3,2,10,20
4/24/19,5/1/19,173,1,B,4,1,30,90
4/24/19,5/1/19,173,1,B,4,2,30,90
4/24/19,5/1/19,173,1,D,3,1,0,15
4/24/19,5/1/19,173,1,D,3,2,0,10
4/24/19,5/1/19,173,1,D,4,1,0,70
4/24/19,5/1/19,173,1,D,4,2,0,60
4/24/19,5/1/19,173,1,G,3,1,0,0
4/24/19,5/1/19,173,1,G,3,2,0,0
4/24/19,5/1/19,173,1,G,4,1,30,60
4/24/19,5/1/19,173,1,G,4,2,10,30
4/24/19,5/1/19,161,1,A,3,1,5,40
4/24/19,5/1/19,161,1,A,3,2,0,35
4/24/19,5/1/19,161,1,A,4,1,10,70
4/24/19,5/1/19,161,1,A,4,2,20,80
4/24/19,5/1/19,161,1,B,3,1,30,60
4/24/19,5/1/19,161,1,B,3,2,20,60
4/24/19,5/1/19,161,1,B,4,1,80,90
4/24/19,5/1/19,161,1,B,4,2,70,85
4/24/19,5/1/19,161,1,D,3,1,0,5
4/24/19,5/1/19,161,1,D,3,2,0,10
4/24/19,5/1/19,161,1,D,4,1,8,50
4/24/19,5/1/19,161,1,D,4,2,10,60
4/24/19,5/1/19,161,1,G,3,1,0,0
4/24/19,5/1/19,161,1,G,3,2,0,5
4/24/19,5/1/19,161,1,G,4,1,40,75
4/24/19,5/1/19,161,1,G,4,2,15,70
4/24/19,5/1/19,153,1,A,3,1,0,0
4/24/19,5/1/19,153,1,A,3,2,0,0
4/24/19,5/1/19,153,1,A,4,1,60,70
4/24/19,5/1/19,153,1,A,4,2,65,75
4/24/19,5/1/19,153,1,B,3,1,10,40
4/24/19,5/1/19,153,1,B,3,2,40,70
4/24/19,5/1/19,153,1,B,4,1,0,80
4/24/19,5/1/19,153,1,B,4,2,0,40
4/24/19,5/1/19,153,1,D,3,1,0,20
4/24/19,5/1/19,153,1,D,3,2,0,20
4/24/19,5/1/19,153,1,D,4,1,0,10
4/24/19,5/1/19,153,1,D,4,2,0,8
4/24/19,5/1/19,153,1,G,3,1,0,0
4/24/19,5/1/19,153,1,G,3,2,0,0
4/24/19,5/1/19,153,1,G,4,1,10,30
4/24/19,5/1/19,153,1,G,4,2,0,30
4/24/19,5/1/19,138,1,A,3,1,0,90
4/24/19,5/1/19,138,1,A,3,2,5,95
4/24/19,5/1/19,138,1,A,4,1,0,80
4/24/19,5/1/19,138,1,A,4,2,0,90
4/24/19,5/1/19,138,1,B,3,1,0,60
4/24/19,5/1/19,138,1,B,3,2,0,30
4/24/19,5/1/19,138,1,B,4,1,20,70
4/24/19,5/1/19,138,1,B,4,2,10,70
4/24/19,5/1/19,138,1,D,3,1,0,30
4/24/19,5/1/19,138,1,D,3,2,5,50
4/24/19,5/1/19,138,1,D,4,1,0,10
4/24/19,5/1/19,138,1,D,4,2,0,20
4/24/19,5/1/19,138,1,G,3,1,5,40
4/24/19,5/1/19,138,1,G,3,2,0,10
4/24/19,5/1/19,138,1,G,4,1,0,30
4/24/19,5/1/19,138,1,G,4,2,0,10
4/24/19,5/1/19,134,1,A,3,1,0,10
4/24/19,5/1/19,134,1,A,3,2,0,10
4/24/19,5/1/19,134,1,A,4,1,60,85
4/24/19,5/1/19,134,1,A,4,2,40,80
4/24/19,5/1/19,134,1,B,3,1,0,0
4/24/19,5/1/19,134,1,B,3,2,0,0
4/24/19,5/1/19,134,1,B,4,1,60,70
4/24/19,5/1/19,134,1,B,4,2,50,70
4/24/19,5/1/19,134,1,D,3,1,5,40
4/24/19,5/1/19,134,1,D,3,2,20,60
4/24/19,5/1/19,134,1,D,4,1,50,70
4/24/19,5/1/19,134,1,D,4,2,20,40
4/24/19,5/1/19,134,1,G,3,1,0,40
4/24/19,5/1/19,134,1,G,3,2,0,0
4/24/19,5/1/19,134,1,G,4,1,5,0
4/24/19,5/1/19,134,1,G,4,2,10,40
4/24/19,5/1/19,133,1,A,3,1,50,70
4/24/19,5/1/19,133,1,A,3,2,30,50
4/24/19,5/1/19,133,1,A,4,1,85,95
4/24/19,5/1/19,133,1,A,4,2,80,85
4/24/19,5/1/19,133,1,B,3,1,5,5
4/24/19,5/1/19,133,1,B,3,2,5,10
4/24/19,5/1/19,133,1,B,4,1,85,85
4/24/19,5/1/19,133,1,B,4,2,90,90
4/24/19,5/1/19,133,1,D,3,1,0,10
4/24/19,5/1/19,133,1,D,3,2,0,10
4/24/19,5/1/19,133,1,D,4,1,5,20
4/24/19,5/1/19,133,1,D,4,2,1,20
4/24/19,5/1/19,133,1,G,3,1,0,0
4/24/19,5/1/19,133,1,G,3,2,0,0
4/24/19,5/1/19,133,1,G,4,1,50,50
4/24/19,5/1/19,133,1,G,4,2,20,30
4/24/19,5/1/19,125,1,A,3,1,0,25
4/24/19,5/1/19,125,1,A,3,2,0,70
4/24/19,5/1/19,125,1,A,4,1,0,70
4/24/19,5/1/19,125,1,A,4,2,0,80
4/24/19,5/1/19,125,1,B,3,1,5,40
4/24/19,5/1/19,125,1,B,3,2,0,30
4/24/19,5/1/19,125,1,B,4,1,50,80
4/24/19,5/1/19,125,1,B,4,2,40,80
4/24/19,5/1/19,125,1,D,3,1,0,5
4/24/19,5/1/19,125,1,D,3,2,0,8
4/24/19,5/1/19,125,1,D,4,1,0,30
4/24/19,5/1/19,125,1,D,4,2,0,8
4/24/19,5/1/19,125,1,G,3,1,0,0
4/24/19,5/1/19,125,1,G,3,2,0,0
4/24/19,5/1/19,125,1,G,4,1,0,20
4/24/19,5/1/19,125,1,G,4,2,0,30
4/24/19,5/1/19,122,1,A,3,1,0,70
4/24/19,5/1/19,122,1,A,3,2,2,60
4/24/19,5/1/19,122,1,A,4,1,20,90
4/24/19,5/1/19,122,1,A,4,2,15,80
4/24/19,5/1/19,122,1,B,3,1,0,30
4/24/19,5/1/19,122,1,B,3,2,0,25
4/24/19,5/1/19,122,1,B,4,1,25,85
4/24/19,5/1/19,122,1,B,4,2,25,80
4/24/19,5/1/19,122,1,D,3,1,0,10
4/24/19,5/1/19,122,1,D,3,2,0,0
4/24/19,5/1/19,122,1,D,4,1,10,70
4/24/19,5/1/19,122,1,D,4,2,5,40
4/24/19,5/1/19,122,1,G,3,1,0,0
4/24/19,5/1/19,122,1,G,3,2,0,0
4/24/19,5/1/19,122,1,G,4,1,0,0
4/24/19,5/1/19,122,1,G,4,2,0,0
4/24/19,5/1/19,109,1,A,3,1,0,60
4/24/19,5/1/19,109,1,A,3,2,5,60
4/24/19,5/1/19,109,1,A,4,1,0,70
4/24/19,5/1/19,109,1,A,4,2,0,80
4/24/19,5/1/19,109,1,B,3,1,40,90
4/24/19,5/1/19,109,1,B,3,2,30,70
4/24/19,5/1/19,109,1,B,4,1,90,90
4/24/19,5/1/19,109,1,B,4,2,70,80
4/24/19,5/1/19,109,1,D,3,1,0,5
4/24/19,5/1/19,109,1,D,3,2,0,0
4/24/19,5/1/19,109,1,D,4,1,0,0
4/24/19,5/1/19,109,1,D,4,2,0,10
4/24/19,5/1/19,109,1,G,3,1,10,50
4/24/19,5/1/19,109,1,G,3,2,0,25
4/24/19,5/1/19,109,1,G,4,1,0,5
4/24/19,5/1/19,109,1,G,4,2,0,30
